c1	c2	c3	c4	c5	c6
gene10075	gene10786				
gene10105	gene10807				
gene10107	gene10818				
gene10145	gene10823				
gene10154	gene10850				
gene10156	gene10882				
gene10206	gene10892				
gene10250	gene10911				
gene10276	gene10920				
gene10298	gene10936				
gene10314	gene10952				
gene10319	gene10962				
gene10346	gene10965				
gene10356	gene10982				
gene10371	gene11006				
gene10381	gene11080				
gene10395	gene11135				
gene10436	gene11137				
gene10452	gene11147				
gene10500	gene11152				
gene10520	gene11184				
gene10550	gene11199				
gene10553	gene11208				
gene10565	gene11250				
gene10577	gene11269				
gene10578	gene11343				
gene10628	gene11386				
gene10636	gene11395				
gene10642	gene11401				
gene10649	gene11409				
gene10664	gene11411				
gene10684	gene11417				
gene10692	gene11423				
gene10693	gene11430				
gene10723	gene11433				
gene10731	gene11437				
gene10767	gene11439				
gene10768	gene11440				
gene10784	gene11456				
gene10786	gene11470				
gene10818	gene11472				
gene10820	gene11482				
gene10828	gene11502				
gene10882	gene11511				
gene10897	gene11520				
gene10911	gene11526				
gene10920	gene11531				
gene10924	gene11537				
gene10952	gene11552				
gene10965	gene11570				
gene11039	gene11573				
gene11049	gene11593				
gene11080	gene11601				
gene11109	gene11628				
gene11147	gene11644				
gene11152	gene11645				
gene11188	gene11695				
gene11208	gene11708				
gene11236	gene11719				
gene11257	gene11737				
gene11278	gene11741				
gene11303	gene11745				
gene11343	gene11759				
gene11380	gene11834				
gene11386	gene11840				
gene11395	gene11845				
gene11408	gene11850				
gene11411	gene11868				
gene11417	gene11897				
gene11434	gene11949				
gene11456	gene11981				
gene11472	gene12011				
gene11482	gene12017				
gene11511	gene12035				
gene11520	gene12052				
gene11526	gene12080				
gene11537	gene12094				
gene11570	gene12103				
gene11573	gene12105				
gene11593	gene12115				
gene11601	gene12121				
gene11616	gene12193				
gene11618	gene12206				
gene11640	gene12217				
gene11645	gene12226				
gene11710	gene12231				
gene11717	gene12246				
gene11719	gene12255				
gene11737	gene12268				
gene11753	gene12284				
gene11759	gene12285				
gene11804	gene12356				
gene11834	gene12370				
gene11837	gene12371				
gene11840	gene12376				
gene11845	gene12383				
gene11957	gene12396				
gene11981	gene12429				
gene12011	gene12438				
gene12017	gene12446				
gene12022	gene12477				
gene12023	gene12489				
gene12035	gene12513				
gene12042	gene12521				
gene12052	gene12534				
gene12082	gene12547				
gene12094	gene12551				
gene12103	gene12606				
gene12105	gene12628				
gene12115	gene12652				
gene12134	gene12677				
gene12144	gene12707				
gene12206	gene12734				
gene12217	gene12743				
gene12226	gene12757				
gene12285	gene12777				
gene12318	gene12810				
gene12356	gene12817				
gene12370	gene12835				
gene12376	gene12847				
gene12396	gene12867				
gene12404	gene12873				
gene12414	gene12887				
gene12429					
gene12446					
gene12477					
gene12489					
gene12532					
gene12534					
gene12547					
gene12593					
gene12636					
gene12652					
gene12677					
gene12707					
gene12734					
gene12743					
gene12758					
gene12769					
gene12783					
gene12817					
gene12822					
gene12873					
gene12885					
gene12887					
